id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
35028081,CHAMPIONS LEAGUE FINAL,263870493,Alexandra,San Blas - Canillejas,Rejas,40.44465,-3.58098,Private room,800,1,0,,,1,365
35028105,Luxury 140m2 Apartment in City Center,5007740,Etienne,Centro,Justicia,40.42413,-3.69774,Private room,250,1,1,2019-06-03,0.09,1,0
35028256,Apartment,194953291,Jaime,Salamanca,Lista,40.42939,-3.67668,Entire home/apt,600,2,0,,,1,364
35028455,Habitación en Madrid con metro en la puerta,154549952,Maria,Chamartín,Hispanoamérica,40.45755,-3.67636,Private room,250,1,1,2019-06-02,0.09,1,0
35029265,ESTUDIO ESTADIO WANDA METROPOLITANO,263879290,Maria,San Blas - Canillejas,Canillejas,40.44542,-3.60994,Entire home/apt,75,3,98,2020-03-18,8.57,2,275
35029928,Ap. Zona Atocha,241652103,Liliana,Retiro,Pacífico,40.40133,-3.67608,Entire home/apt,38,10,1,2019-12-14,0.20,20,364
35030406,Habitacion en Ortega y Gasset final de Champions!,99018982,Alterhome,Salamanca,Castellana,40.4343,-3.68169,Private room,450,1,0,,,120,135
35030766,Habitación a 5 paradas de Sol,251899310,Edu,Usera,Pradolongo,40.3803,-3.70745,Private room,50,2,1,2019-06-02,0.09,2,0
35030943,Habitación Luminosa en Madrid Centro,263891278,Irene,Chamberí,Gaztambide,40.43341,-3.71193,Private room,45,1,5,2019-11-02,0.43,1,0
35031260,"apartamento nuevo, recién reformado 3 dormitorios",5120586,Jose,Ciudad Lineal,Quintana,40.43844,-3.64567,Entire home/apt,60,2,0,,,1,229
35032138,Apartment 10’ from the metropolitan wanda stadium,209619200,Yastin,Villa de Vallecas,Casco Histórico de Vallecas,40.37478,-3.60748,Entire home/apt,102,1,0,,,1,0
35032632,Rent room for the end of the Champions,89061993,Maria Jose,San Blas - Canillejas,Simancas,40.42729,-3.62934,Private room,600,1,0,,,1,0
35032990,Serrano Madrid 15’ Estadium Wanda Champions,25072048,Zeek,Chamartín,El Viso,40.43896,-3.68693,Entire home/apt,275,1,0,,,2,365
35033056,"Duplex penthouse  Plaza Castilla
Champions League",263904214,Ana Belen,Tetuán,Valdeacederas,40.46644,-3.702,Private room,600,2,0,,,1,365
35033093,Beautiful private room for Champions League final.,100685138,Isabella,Salamanca,Goya,40.42702,-3.67115,Private room,220,2,0,,,1,365
35033111,The best option for the Champions League final cup,27839309,Inma,Puente de Vallecas,Palomeras Sureste,40.38834,-3.64405,Private room,60,1,0,,,2,0
35033678,Habitacion en piso compartido,263908220,Pablo,Carabanchel,Puerta Bonita,40.38293,-3.73014,Private room,36,15,1,2019-06-02,0.09,1,365
35035167,"Beautiful Double Room With Balcony, in Chamartín.",263317959,Roman,Chamartín,Nueva España,40.46216,-3.67337,Private room,195,2,0,,,2,365
35035282,Apartamento centro doble balcon independiente 4B,105795094,Orlando,Centro,Embajadores,40.40845,-3.70123,Entire home/apt,101,1,86,2020-03-12,7.39,11,364
35036029,Casa con jardín Wanda Metropolitano/IFEMA,263924820,Jorge,San Blas - Canillejas,Simancas,40.4357,-3.61656,Entire home/apt,90,5,1,2019-06-02,0.09,3,89
35036559,HABITACIÓN  PRIVADA MADRID RIO,196409684,Pedro,Carabanchel,Comillas,40.38979,-3.71318,Private room,49,1,0,,,3,0
35036561,Precioso ático en el Barrio de Salamanca,263928832,Clara,Salamanca,Goya,40.42389,-3.67141,Entire home/apt,200,1,1,2019-10-06,0.13,1,89
35037105,"Apartamento nuevo 3 habitaciones, Centro Madrid",69566471,Javier,Carabanchel,Opañel,40.39095,-3.71644,Entire home/apt,155,5,0,,,23,365
35038395,Apartamento de 3 habitaciones con Garaje en Madrid,69566471,Javier,Carabanchel,Comillas,40.39454,-3.71455,Entire home/apt,150,2,0,,,23,365
35038567,Apartamento Barajas. Aeropuerto/Ifema,263945038,Sergio,Barajas,Casco Histórico de Barajas,40.47314,-3.57852,Entire home/apt,155,1,5,2020-01-11,0.54,1,331
35038765,"Alquilo 2 habitaciones, 3 camas.  Baño compartido.",263916053,Abel,San Blas - Canillejas,Arcos,40.41909,-3.6157,Private room,250,1,0,,,1,365
35038940,Habitación para la champions,263947630,Cristobal,Tetuán,Almenara,40.47315,-3.69729,Private room,450,1,0,,,1,365
35039002,"Rum fun, wie Rumba",36234127,Andrés,Vicálvaro,Casco Histórico de Vicálvaro,40.40496,-3.60703,Private room,155,2,0,,,2,90
35039314,"Room,wifi ,tv,metro al centro, bus al aeropuerto",263951333,Daniel,San Blas - Canillejas,Canillejas,40.44936,-3.6091,Private room,18,1,35,2020-03-19,2.98,2,343
35039625,Habitación doble  para Champions League,28342874,Noelia,Vicálvaro,Casco Histórico de Vicálvaro,40.37992,-3.58605,Private room,210,1,0,,,2,363
35046982,"Habitación pequeña,c/futon muy iluminada",264013114,Ivan,Centro,Embajadores,40.4063,-3.70517,Private room,25,1,26,2019-10-29,2.24,1,0
35047434,UCL final entire apartment for 3,190129159,Dani,Tetuán,Almenara,40.46854,-3.68891,Entire home/apt,150,1,0,,,2,0
